Season,Stage,Week,MatchID,Date,Gamemode,Map,Player,Team,OpponentTeam,Result,TeamScore,OpponentScore,Kills,Deaths,Assists,NonTradedKills,HighestStreak,Damage,Plants,Defuses,FirstBloods,FirstDeaths,KillsPerRound,DmgPerRound,Time,Defends,KDR
Season 2,Round Robin,Week 4,S2-117,16/07/2025,Hardpoint,Himmelmatt Expo,Michael,Slam Poetry,Big Dick Boys Club,L,123,250,13,20,,,,,N/A,N/A,,,,,0:01:06,3,0.65
Season 2,Round Robin,Week 4,S2-117,16/07/2025,Hardpoint,Himmelmatt Expo,Conor,Slam Poetry,Big Dick Boys Club,L,123,250,13,20,,,,,N/A,N/A,,,,,0:00:36,2,0.65
Season 2,Round Robin,Week 4,S2-117,16/07/2025,Hardpoint,Himmelmatt Expo,Joe,Big Dick Boys Club,Slam Poetry,W,250,123,24,10,,,,,N/A,N/A,,,,,0:01:50,7,2.4
Season 2,Round Robin,Week 4,S2-117,16/07/2025,Hardpoint,Himmelmatt Expo,Andrew,Big Dick Boys Club,Slam Poetry,W,250,123,17,14,,,,,N/A,N/A,,,,,0:02:09,5,1.21
Season 2,Round Robin,Week 4,S2-117,16/07/2025,Hardpoint,Himmelmatt Expo,Iestyn,Big Dick Boys Club,Slam Poetry,W,250,123,17,14,,,,,N/A,N/A,,,,,0:01:10,7,1.21
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Liam,"Cripple, Cripple, Carer",Slam Poetry,W,250,236,34,15,,,,,N/A,N/A,,,,,0:01:15,7,2.27
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Lawrence,"Cripple, Cripple, Carer",Slam Poetry,W,250,236,19,23,,,,,N/A,N/A,,,,,0:02:36,11,0.83
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Harry,"Cripple, Cripple, Carer",Slam Poetry,W,250,236,17,34,,,,,N/A,N/A,,,,,0:01:40,5,0.5
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Alex,Slam Poetry,"Cripple, Cripple, Carer",L,236,250,21,22,,,,,N/A,N/A,,,,,0:02:46,7,0.95
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Michael,Slam Poetry,"Cripple, Cripple, Carer",L,236,250,22,23,,,,,N/A,N/A,,,,,0:02:23,5,0.96
Season 2,Playoffs,Week 5,S2-118,16/07/2025,Hardpoint,Vondel Waterfront,Conor,Slam Poetry,"Cripple, Cripple, Carer",L,236,250,19,25,,,,,N/A,N/A,,,,,0:01:01,4,0.76
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Liam,"Cripple, Cripple, Carer",Slam Poetry,W,6,3,13,3,,,,,0,1,,,,,N/A,N/A,4.33
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Harry,"Cripple, Cripple, Carer",Slam Poetry,W,6,3,4,5,,,,,0,0,,,,,N/A,N/A,0.8
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Lawrence,"Cripple, Cripple, Carer",Slam Poetry,W,6,3,3,5,,,,,1,0,,,,,N/A,N/A,0.6
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Michael,Slam Poetry,"Cripple, Cripple, Carer",L,3,6,7,6,,,,,0,0,,,,,N/A,N/A,1.17
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Conor,Slam Poetry,"Cripple, Cripple, Carer",L,3,6,4,7,,,,,0,0,,,,,N/A,N/A,0.57
Season 2,Playoffs,Week 5,S2-119,16/07/2025,SnD,Al Bagra Fortress,Alex,Slam Poetry,"Cripple, Cripple, Carer",L,3,6,2,7,,,,,1,0,,,,,N/A,N/A,0.29
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Lawrence,"Cripple, Cripple, Carer",Big Dick Boys Club,L,176,250,16,22,,,,,N/A,N/A,,,,,0:01:55,7,0.73
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Liam,"Cripple, Cripple, Carer",Big Dick Boys Club,L,176,250,23,21,,,,,N/A,N/A,,,,,0:00:42,2,1.1
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Harry,"Cripple, Cripple, Carer",Big Dick Boys Club,L,176,250,7,22,,,,,N/A,N/A,,,,,0:01:40,2,0.32
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Iestyn,Big Dick Boys Club,"Cripple, Cripple, Carer",W,250,176,22,17,,,,,N/A,N/A,,,,,0:02:04,10,1.29
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Andrew,Big Dick Boys Club,"Cripple, Cripple, Carer",W,250,176,18,13,,,,,N/A,N/A,,,,,0:02:22,7,1.38
Season 2,Playoffs,Week 5,S2-120,16/07/2025,Hardpoint,Mercado,Joe,Big Dick Boys Club,"Cripple, Cripple, Carer",W,250,176,25,16,,,,,N/A,N/A,,,,,0:00:43,3,1.56
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Liam,"Cripple, Cripple, Carer",Big Dick Boys Club,L,3,6,9,6,,,,,0,2,,,,,N/A,N/A,1.5
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Lawrence,"Cripple, Cripple, Carer",Big Dick Boys Club,L,3,6,3,7,,,,,1,0,,,,,N/A,N/A,0.43
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Harry,"Cripple, Cripple, Carer",Big Dick Boys Club,L,3,6,3,8,,,,,1,0,,,,,N/A,N/A,0.38
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Joe,Big Dick Boys Club,"Cripple, Cripple, Carer",W,6,3,10,3,,,,,3,0,,,,,N/A,N/A,3.33
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Andrew,Big Dick Boys Club,"Cripple, Cripple, Carer",W,6,3,8,6,,,,,1,1,,,,,N/A,N/A,1.33
Season 2,Playoffs,Week 5,S2-121,16/07/2025,SnD,Strike,Iestyn,Big Dick Boys Club,"Cripple, Cripple, Carer",W,6,3,3,6,,,,,1,0,,,,,N/A,N/A,0.5
