Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
SSeeS,DFM,Vct 2026 Pacific Kickoff,Controller,85,85,85
kiNgg,LEV,Vct 2026 Americas Stage 1,Controller,86,84,85
marteen,M8,Vct 2026 Emea Kickoff,Duelist,85,85,85
Crewen,BBL,Vct 2026 Emea Stage 2,Sentinel,83,86,85
MiniBoo,TL,Vct 2026 Emea Kickoff,Duelist,84,85,85
bang,100T,Vct 2026 Americas Stage 2,Controller,85,84,84
Raxcal,GEN,Vct 2026 Pacific Stage 2,Sentinel,86,82,84
KROSTALY,FUT,Vct 2026 Emea Stage 2,Initiator,84,85,84
Cryocells,100T,Vct 2026 Americas Stage 2,Sentinel,85,84,84
crashies,FNC,Vct 2026 Emea Kickoff,Initiator,84,85,84
JonahP,SEN,Vct 2026 Americas Stage 2,Initiator,80,88,84
neT,GX,Vct 2026 Emea Stage 2,Initiator,85,83,84
Meiy,DFM,Vct 2026 Pacific Kickoff,Duelist,82,86,84
Jinggg,PRX,Vct 2026 Pacific Kickoff,Duelist,84,84,84
happywei,XLG,Vct 2026 China Stage 1,Controller,84,84,84
eKo,ZETA,Vct 2026 Pacific Stage 2,Initiator,84,84,84
Leviathan,FS,Vct 2026 Pacific Kickoff,Controller,84,83,84
Foxy9,VL,Vct 2026 Pacific Stage 2,Sentinel,85,82,84
HYUNMIN,KRX,Vct 2026 Pacific Kickoff,Duelist,84,84,84
Erv,TYL,Vct 2026 China Kickoff,Controller,85,83,84
UdoTan,GE,Vct 2026 Pacific Kickoff,Sentinel,82,86,84
kamo,TL,Vct 2026 Emea Stage 2,Duelist,78,89,84
MaKo,KRX,Vct 2026 Pacific Stage 2,Controller,83,85,84
primmie,FS,Vct 2026 Pacific Kickoff,Duelist,89,78,84
OXY,C9,Vct 2026 Americas Stage 2,Duelist,80,88,84
invy,PRX,Vct 2026 Pacific Stage 2,Initiator,84,84,84
trent,G2,Valorant Masters Santiago 2026,Initiator,82,86,84
BeYN,KRX,Vct 2026 Pacific Stage 1,Initiator,82,86,84
Ash,GEN,Vct 2026 Pacific Stage 2,Duelist,84,83,84
valyn,G2,Vct 2026 Americas Kickoff,Controller,83,84,84
v1c,C9,Vct 2026 Americas Kickoff,Controller,84,83,84
tex,MIBR,Vct 2026 Americas Stage 2,Sentinel,82,85,83
Sato,LEV,Vct 2026 Americas Stage 1,Duelist,81,86,83
Meiy,DFM,Vct 2026 Pacific Stage 1,Duelist,81,86,83
koshmaras,TH,Vct 2026 Emea Stage 1,Duelist,83,84,83
Kushy,RRQ,Vct 2026 Pacific Stage 1,Initiator,83,83,83
yetujey,FUT,Valorant Masters London 2026,Sentinel,81,86,83
d4v41,PRX,Vct 2026 Pacific Kickoff,Controller,82,84,83
BuZz,T1,Vct 2026 Pacific Stage 1,Duelist,84,82,83
Crws,FS,Vct 2026 Pacific Stage 2,Controller,81,86,83
