Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
kaajak,FNC,Vct 2026 Emea Stage 2,Duelist,79,76,78
f4ngeer,AG,Vct 2026 China Stage 1,Duelist,84,71,78
splash,TYL,Vct 2026 China Stage 1,Duelist,82,74,78
Lar0k,BBL,Vct 2026 Emea Stage 2,Duelist,78,78,78
Paincakes,EG,Vct 2026 Americas Stage 2,Initiator,76,80,78
keiko,NRG,Vct 2026 Americas Stage 1,Duelist,76,79,78
Veqaj,FNC,Vct 2026 Emea Kickoff,Controller,78,77,78
Derke,VIT,Vct 2026 Emea Kickoff,Duelist,77,78,78
aspas,MIBR,Vct 2026 Americas Stage 1,Duelist,78,77,77
Lakia,GEN,Vct 2026 Pacific Stage 1,Initiator,77,78,77
Verno,MIBR,Vct 2026 Americas Stage 1,Initiator,79,76,77
crownfisher,JDG,Vct 2026 China Stage 2,Controller,79,76,77
MiniBoo,TL,Vct 2026 Emea Stage 1,Duelist,76,79,77
Alfajer,FNC,Vct 2026 Emea Kickoff,Duelist,78,77,77
Chronicle,VIT,Valorant Masters London 2026,Sentinel,77,78,77
Jamppi,VIT,Valorant Masters London 2026,Initiator,77,78,77
nobody,EDG,Valorant Masters London 2026,Initiator,76,79,77
SugarZ3ro,ZETA,Vct 2026 Pacific Stage 1,Controller,77,78,77
purp0,TL,Vct 2026 Emea Stage 1,Initiator,79,76,77
PatMen,GE,Vct 2026 Pacific Stage 1,Controller,78,77,77
Smoggy,EDG,Vct 2026 China Stage 1,Controller,77,78,77
stew,JDG,Vct 2026 China Stage 1,Controller,78,77,77
something,PRX,Vct 2026 Pacific Stage 2,Duelist,76,78,77
CyvOph,NAVI,Vct 2026 Emea Stage 2,Sentinel,77,78,77
PROFEK,VIT,Vct 2026 Emea Kickoff,Controller,75,80,77
eeiu,FUR,Vct 2026 Americas Stage 1,Initiator,76,79,77
starxo,M8,Vct 2026 Emea Stage 1,Initiator,76,78,77
splash,TYL,Vct 2026 China Kickoff,Duelist,82,72,77
leaf,G2,Vct 2026 Americas Stage 1,Controller,78,76,77
grubinho,GX,Vct 2026 Emea Stage 1,Controller,76,78,77
splash,TYL,Vct 2026 China Stage 2,Duelist,79,75,77
skuba,NRG,Vct 2026 Americas Stage 1,Controller,78,76,77
deLb,TE,Vct 2026 China Stage 2,Sentinel,80,74,77
GLYPH,ENVY,Vct 2026 Americas Stage 2,Initiator,74,80,77
marteen,M8,Vct 2026 Emea Stage 1,Duelist,78,76,77
tex,MIBR,Vct 2026 Americas Kickoff,Controller,77,77,77
d4v41,PRX,Valorant Masters Santiago 2026,Controller,79,75,77
BuZz,T1,Vct 2026 Pacific Stage 2,Duelist,76,77,77
ZmjjKK,EDG,Valorant Masters London 2026,Duelist,75,79,77
Crewen,BBL,Vct 2026 Emea Kickoff,Sentinel,74,79,77
sword9,TYL,Vct 2026 China Stage 1,Initiator,80,74,77
Monyet,RRQ,Vct 2026 Pacific Stage 1,Duelist,78,76,77
free1ng,KRX,Vct 2026 Pacific Kickoff,Controller,78,75,77
Xross,NS,Valorant Masters Santiago 2026,Initiator,74,79,77
kiNgg,LEV,Vct 2026 Americas Kickoff,Controller,75,78,77
cauanzin,LOUD,Vct 2026 Americas Stage 1,Initiator,77,77,77
Loita,BBL,Valorant Masters Santiago 2026,Controller,76,77,77
Jinggg,PRX,Valorant Masters Santiago 2026,Duelist,76,78,77
nephh,BLG,Vct 2026 China Stage 1,Controller,78,75,77
keiko,NRG,Vct 2026 Americas Kickoff,Controller,78,76,77
xffero,RRQ,Vct 2026 Pacific Stage 1,Sentinel,79,74,77
Mazino,MIBR,Vct 2026 Americas Kickoff,Controller,77,77,77
Munchkin,T1,Valorant Masters Santiago 2026,Controller,78,76,77
Knight,BLG,Vct 2026 China Kickoff,Initiator,80,74,77
zekken,MIBR,Vct 2026 Americas Kickoff,Controller,77,76,77
starxo,M8,Valorant Masters Santiago 2026,Initiator,77,76,77
echo,EF,Vct 2026 Emea Stage 1,Sentinel,77,76,77
LuoK1ng,TE,Vct 2026 China Kickoff,Controller,79,74,77
C1ndeR,VL,Vct 2026 Pacific Stage 1,Controller,78,75,77
Demon1,ENVY,Vct 2026 Americas Stage 2,Sentinel,73,80,76
Viva,TE,Vct 2026 China Kickoff,Initiator,79,74,76
Life,DRG,Vct 2026 China Stage 1,Duelist,82,71,76
Rossy,ENVY,Vct 2026 Americas Stage 2,Controller,74,79,76
bao,EG,Vct 2026 Americas Kickoff,Sentinel,74,79,76
zekken,MIBR,Vct 2026 Americas Stage 1,Duelist,76,77,76
Less,KRÜ,Vct 2026 Americas Stage 2,Controller,77,76,76
BuZz,T1,Vct 2026 Pacific Stage 2,Controller,76,76,76
Neon,LEV,Vct 2026 Americas Stage 1,Sentinel,78,75,76
Asuna,100T,Vct 2026 Americas Kickoff,Initiator,77,75,76
mada,NRG,Vct 2026 Americas Stage 1,Duelist,74,79,76
Zexy,VL,Vct 2026 Pacific Kickoff,Duelist,78,75,76
Wo0t,TH,Vct 2026 Emea Stage 2,Duelist,71,80,76
erde,LOUD,Vct 2026 Americas Stage 2,Sentinel,78,73,76
lucas,TEC,Vct 2026 China Kickoff,Initiator,79,73,76
CHICHOO,EDG,Vct 2026 China Kickoff,Sentinel,76,76,76
Asuna,100T,Vct 2026 Americas Stage 1,Duelist,77,75,76
C0M,EG,Vct 2026 Americas Kickoff,Initiator,74,78,76
K1ra,AG,Vct 2026 China Stage 1,Sentinel,79,73,76
Asuna,100T,Vct 2026 Americas Kickoff,Sentinel,77,75,76
keiko,NRG,Valorant Masters Santiago 2026,Sentinel,74,79,76
nightz,ENVY,Vct 2026 Americas Stage 2,Controller,73,80,76
CHICHOO,EDG,Vct 2026 China Stage 2,Sentinel,78,74,76
Loita,BBL,Vct 2026 Emea Stage 1,Controller,75,77,76
basic,FUR,Vct 2026 Americas Stage 2,Sentinel,75,78,76
Flickless,GX,Vct 2026 Emea Stage 2,Controller,76,76,76
alym,FUR,Vct 2026 Americas Stage 1,Duelist,75,77,76
BABYBAY,G2,Vct 2026 Americas Kickoff,Sentinel,74,79,76
Haodong,TEC,Vct 2026 China Kickoff,Controller,77,74,76
Xdll,ZETA,Vct 2026 Pacific Stage 2,Initiator,77,75,76
Absol,ZETA,Vct 2026 Pacific Stage 1,Duelist,76,76,76
Lar0k,BBL,Vct 2026 Emea Kickoff,Duelist,75,76,76
yatsuka,DFM,Vct 2026 Pacific Stage 2,Duelist,74,78,76
JessieVash,TS,Vct 2026 Pacific Stage 1,Initiator,73,78,76
Inspire,ENVY,Vct 2026 Americas Kickoff,Controller,74,78,76
Minny,M8,Valorant Masters Santiago 2026,Sentinel,76,75,76
nerve,FUR,Vct 2026 Americas Kickoff,Controller,74,77,76
Kr1stal,GE,Vct 2026 Pacific Stage 2,Initiator,76,76,76
Shr1mp,AG,Vct 2026 China Kickoff,Initiator,76,75,76
seven,PCF,Vct 2026 Emea Stage 2,Duelist,75,77,76
cortezia,SEN,Vct 2026 Americas Stage 2,Controller,75,76,76
nekky,EF,Vct 2026 Emea Stage 2,Initiator,79,74,76
Yuicaw,JDG,Vct 2026 China Stage 2,Sentinel,77,75,76
ComeBack,TH,Vct 2026 Emea Kickoff,Duelist,76,76,76
Less,KRÜ,Vct 2026 Americas Stage 1,Controller,75,76,76
qiutiaN,NOVA,Vct 2026 China Stage 2,Initiator,78,74,76
kiNgg,LEV,Valorant Masters London 2026,Sentinel,76,75,76
nAts,TL,Vct 2026 Emea Stage 2,Sentinel,73,78,76
Shr1mp,AG,Vct 2026 China Stage 2,Initiator,76,76,76
free1ng,KRX,Vct 2026 Pacific Stage 2,Duelist,72,80,76
alym,FUR,Vct 2026 Americas Kickoff,Duelist,78,74,76
RieNs,TH,Vct 2026 Emea Kickoff,Initiator,76,75,76
kamo,TL,Vct 2026 Emea Kickoff,Duelist,76,75,76
Kr1stal,GE,Valorant Masters London 2026,Sentinel,77,73,76
Smoggy,EDG,Valorant Masters London 2026,Duelist,75,76,76
Cloud,GX,Vct 2026 Emea Kickoff,Initiator,75,76,75
whzy,BLG,Vct 2026 China Stage 2,Duelist,80,71,75
hiro,NAVI,Vct 2026 Emea Stage 2,Controller,73,79,75
cb,EDG,Vct 2026 China Kickoff,Duelist,78,73,75
Chronicle,VIT,Vct 2026 Emea Kickoff,Sentinel,78,73,75
free1ng,KRX,Vct 2026 Pacific Stage 1,Duelist,75,76,75
Eggsterr,ENVY,Vct 2026 Americas Kickoff,Duelist,74,77,75
yetujey,FUT,Vct 2026 Emea Stage 1,Sentinel,75,76,75
zekken,MIBR,Vct 2026 Americas Kickoff,Duelist,73,77,75
blowz,LEV,Vct 2026 Americas Kickoff,Initiator,75,76,75
eeiu,FUR,Vct 2026 Americas Stage 2,Initiator,77,72,75
C1ndeR,VL,Vct 2026 Pacific Stage 2,Controller,75,76,75
Kai,TE,Vct 2026 China Stage 1,Duelist,76,74,75
Francis,NS,Vct 2026 Pacific Stage 1,Duelist,77,73,75
audaz,EF,Vct 2026 Emea Stage 2,Controller,76,75,75
johnqt,SEN,Vct 2026 Americas Kickoff,Controller,77,74,75
Yuicaw,JDG,Vct 2026 China Kickoff,Sentinel,76,75,75
Viva,TE,Vct 2026 China Stage 1,Initiator,76,74,75
Autumn,GE,Vct 2026 Pacific Stage 1,Sentinel,75,76,75
Dambi,NS,Valorant Masters Santiago 2026,Duelist,80,71,75
yatsuka,DFM,Vct 2026 Pacific Stage 1,Initiator,77,73,75
koshmaras,TH,Vct 2026 Emea Stage 2,Duelist,72,78,75
benjyfishy,TH,Vct 2026 Emea Kickoff,Sentinel,77,73,75
ara,GX,Vct 2026 Emea Stage 1,Duelist,73,78,75
Xlele,FPX,Vct 2026 China Stage 2,Duelist,79,71,75
Smoggy,EDG,Vct 2026 China Stage 1,Duelist,79,71,75
basic,FUR,Vct 2026 Americas Stage 2,Controller,77,73,75
grubinho,GX,Vct 2026 Emea Kickoff,Controller,76,74,75
nAts,TL,Vct 2026 Emea Kickoff,Sentinel,75,75,75
happywei,XLG,Valorant Masters London 2026,Controller,75,75,75
OXY,C9,Vct 2026 Americas Stage 1,Duelist,74,76,75
Chronicle,VIT,Valorant Masters London 2026,Controller,73,80,75
westside,GX,Vct 2026 Emea Kickoff,Sentinel,75,75,75
C1ndeR,VL,Vct 2026 Pacific Kickoff,Controller,74,76,75
coconut,JDG,Vct 2026 China Kickoff,Initiator,76,74,75
Kr1stal,GE,Vct 2026 Pacific Stage 1,Sentinel,76,74,75
Foxy9,VL,Vct 2026 Pacific Stage 2,Controller,72,77,75
skuba,NRG,Vct 2026 Americas Stage 2,Sentinel,74,75,75
lukxo,LOUD,Vct 2026 Americas Stage 2,Controller,72,77,75
Cloud,GX,Vct 2026 Emea Stage 1,Initiator,72,78,75
Dynamite,TEC,Vct 2026 China Stage 1,Duelist,79,71,75
jawgemo,G2,Vct 2026 Americas Kickoff,Duelist,74,76,75
XuNa,VL,Vct 2026 Pacific Kickoff,Initiator,72,77,75
nobody,EDG,Vct 2026 China Stage 2,Initiator,76,74,75
Minny,M8,Vct 2026 Emea Stage 1,Sentinel,72,77,75
eKo,ZETA,Vct 2026 Pacific Kickoff,Duelist,77,73,75
v1c,C9,Vct 2026 Americas Stage 1,Controller,75,74,75
PatMen,GE,Valorant Masters London 2026,Controller,77,72,75
N4RRATE,KC,Vct 2026 Emea Stage 1,Initiator,75,74,75
Lysoar,XLG,Vct 2026 China Stage 2,Controller,73,76,75
Darker,LOUD,Vct 2026 Americas Stage 2,Sentinel,77,73,75
BerserX,TS,Vct 2026 Pacific Stage 1,Sentinel,74,75,75
JonahP,SEN,Vct 2026 Americas Stage 1,Initiator,73,76,75
Spitfires,TEC,Vct 2026 China Stage 1,Duelist,79,70,75
jowa,WOL,Vct 2026 China Kickoff,Controller,78,72,75
Jemkin,RRQ,Vct 2026 Pacific Kickoff,Duelist,76,73,75
qpert,PCF,Vct 2026 Emea Stage 1,Controller,76,74,75
SiuFatBB,WOL,Vct 2026 China Kickoff,Initiator,75,74,75
Francis,NS,Vct 2026 Pacific Stage 2,Controller,75,74,75
XuNa,VL,Vct 2026 Pacific Stage 1,Initiator,74,75,75
K1ra,AG,Vct 2026 China Stage 2,Controller,74,75,75
westside,GX,Vct 2026 Emea Stage 2,Duelist,72,79,75
Francis,NS,Valorant Masters Santiago 2026,Duelist,73,76,75
Smoggy,EDG,Vct 2026 China Stage 2,Controller,77,72,75
yetujey,FUT,Vct 2026 Emea Stage 1,Controller,74,75,74
Jemkin,RRQ,Vct 2026 Pacific Stage 1,Sentinel,75,74,74
Zellsis,C9,Vct 2026 Americas Stage 2,Controller,75,74,74
zhe,JDG,Vct 2026 China Stage 1,Duelist,77,72,74
LewN,KC,Vct 2026 Emea Stage 1,Duelist,72,77,74
NoMan,XLG,Vct 2026 China Stage 1,Sentinel,76,72,74
Haodong,TEC,Vct 2026 China Stage 2,Sentinel,75,73,74
Jieni7,EDG,Vct 2026 China Stage 2,Initiator,76,73,74
Haodong,TEC,Vct 2026 China Stage 1,Controller,74,74,74
PatMen,GE,Vct 2026 Pacific Stage 2,Initiator,72,76,74
jkuro,JDG,Vct 2026 China Stage 1,Controller,75,74,74
Scales,TYL,Vct 2026 China Stage 1,Sentinel,75,74,74
d4v41,PRX,Vct 2026 Pacific Stage 1,Controller,72,76,74
yatsuka,DFM,Vct 2026 Pacific Kickoff,Duelist,76,72,74
Mazino,MIBR,Vct 2026 Americas Kickoff,Initiator,76,72,74
Demon1,C9,Vct 2026 Americas Kickoff,Sentinel,71,77,74
happywei,XLG,Vct 2026 China Stage 1,Sentinel,74,75,74
penny,C9,Vct 2026 Americas Kickoff,Duelist,74,74,74
koalanoob,FUR,Vct 2026 Americas Kickoff,Duelist,71,78,74
Scales,TYL,Vct 2026 China Stage 1,Controller,74,74,74
Kyu,SEN,Vct 2026 Americas Kickoff,Initiator,72,76,74
lukxo,LOUD,Vct 2026 Americas Stage 1,Controller,74,74,74
keiko,NRG,Vct 2026 Americas Stage 2,Controller,74,74,74
Zellsis,C9,Vct 2026 Americas Kickoff,Initiator,72,76,74
Ivy,NS,Vct 2026 Pacific Stage 1,Sentinel,76,72,74
Knight,BLG,Vct 2026 China Stage 1,Initiator,75,72,74
Rosé,BBL,Vct 2026 Emea Kickoff,Initiator,73,75,74
LewN,KC,Vct 2026 Emea Kickoff,Duelist,74,74,74
Dantedeu5,KRÜ,Vct 2026 Americas Stage 2,Duelist,69,79,74
GuanG,NOVA,Vct 2026 China Stage 2,Controller,79,70,74
nAts,TL,Vct 2026 Emea Stage 1,Sentinel,73,75,74
Sato,LEV,Vct 2026 Americas Kickoff,Duelist,70,78,74
UdoTan,GE,Valorant Masters London 2026,Duelist,73,75,74
zerona,EG,Vct 2026 Americas Stage 2,Duelist,75,72,74
dgzin,EG,Vct 2026 Americas Stage 2,Duelist,75,72,74
JitBoyS,FS,Vct 2026 Pacific Kickoff,Sentinel,74,74,74
GuanG,NOVA,Vct 2026 China Stage 2,Sentinel,75,73,74
pANcada,LOUD,Vct 2026 Americas Kickoff,Controller,74,74,74
Setrod,FPX,Vct 2026 China Stage 2,Sentinel,72,75,74
vo0kashu,DRG,Valorant Masters London 2026,Sentinel,73,74,74
yosemite,WOL,Vct 2026 China Stage 1,Sentinel,74,74,74
Meteor,T1,Vct 2026 Pacific Stage 1,Controller,74,73,74
mada,NRG,Vct 2026 Americas Stage 2,Duelist,69,78,74
t3xture,GEN,Vct 2026 Pacific Stage 1,Duelist,71,76,74
audaz,ULF,Vct 2026 Emea Kickoff,Controller,72,75,74
Crewen,BBL,Valorant Masters Santiago 2026,Sentinel,72,75,74
something,PRX,Valorant Masters London 2026,Duelist,70,76,74
echo,EF,Vct 2026 Emea Stage 2,Controller,76,72,74
rushia,BLG,Vct 2026 China Stage 1,Sentinel,75,72,74
Scales,TYL,Vct 2026 China Stage 2,Controller,76,70,74
BABYBAY,G2,Valorant Masters Santiago 2026,Duelist,73,74,74
SpiritZ1,DRG,Vct 2026 China Kickoff,Duelist,76,71,74
sheydos,KC,Vct 2026 Emea Kickoff,Initiator,72,76,74
glacier,WOL,Vct 2026 China Stage 2,Duelist,77,71,74
iamgrq,AG,Vct 2026 China Kickoff,Controller,76,72,74
keiko,NRG,Vct 2026 Americas Kickoff,Sentinel,73,76,74
d4v41,PRX,Valorant Masters London 2026,Sentinel,76,72,74
primmie,FS,Valorant Masters London 2026,Duelist,70,78,74
lukxo,LOUD,Vct 2026 Americas Kickoff,Sentinel,73,74,74
Ivy,NS,Valorant Masters Santiago 2026,Controller,74,73,74
dos9,KC,Vct 2026 Emea Stage 1,Controller,74,73,74
f0rsakeN,PRX,Valorant Masters London 2026,Controller,72,74,73
Marved,SEN,Vct 2026 Americas Stage 2,Controller,71,75,73
Scales,TYL,Vct 2026 China Stage 2,Sentinel,76,72,73
Darker,LOUD,Vct 2026 Americas Stage 1,Controller,73,74,73
Absol,ZETA,Vct 2026 Pacific Kickoff,Duelist,73,74,73
FengF,TE,Vct 2026 China Stage 2,Initiator,76,71,73
PatMen,GE,Vct 2026 Pacific Stage 1,Initiator,73,74,73
NoMan,XLG,Vct 2026 China Kickoff,Duelist,75,72,73
BerserX,TS,Vct 2026 Pacific Kickoff,Controller,75,72,73
kamo,TL,Vct 2026 Emea Kickoff,Initiator,70,77,73
keiko,NRG,Valorant Masters London 2026,Controller,75,72,73
thyy,FS,Vct 2026 Pacific Kickoff,Duelist,67,80,73
johnqt,SEN,Vct 2026 Americas Stage 1,Controller,71,75,73
Jieni7,EDG,Valorant Masters London 2026,Controller,74,73,73
Meteor,T1,Vct 2026 Pacific Stage 2,Duelist,73,73,73
zhe,JDG,Vct 2026 China Stage 2,Duelist,77,69,73
f4ngeer,AG,Vct 2026 China Stage 2,Duelist,75,71,73
Meteor,T1,Vct 2026 Pacific Stage 1,Sentinel,72,74,73
Ruxic,NAVI,Vct 2026 Emea Kickoff,Controller,73,73,73
Xdll,ZETA,Vct 2026 Pacific Stage 2,Sentinel,73,73,73
dgzin,EG,Vct 2026 Americas Stage 1,Duelist,72,74,73
oonzmlp,VL,Vct 2026 Pacific Stage 1,Sentinel,74,72,73
Rarga,XLG,Vct 2026 China Stage 2,Duelist,75,71,73
vo0kashu,DRG,Vct 2026 China Stage 2,Controller,72,74,73
Zexy,VL,Vct 2026 Pacific Stage 1,Duelist,76,70,73
Favian,EF,Vct 2026 Emea Stage 2,Duelist,78,70,73
Jamppi,VIT,Vct 2026 Emea Kickoff,Duelist,71,75,73
leaf,G2,Vct 2026 Americas Kickoff,Controller,74,73,73
Cloud,FNC,Vct 2026 Emea Stage 2,Sentinel,72,74,73
Cloud,FNC,Vct 2026 Emea Stage 2,Initiator,72,74,73
UNFAKE,VIT,Vct 2026 Emea Kickoff,Initiator,72,74,73
Reduxx,SEN,Vct 2026 Americas Stage 2,Duelist,73,73,73
Dantedeu5,KRÜ,Vct 2026 Americas Stage 1,Duelist,70,76,73
SUYGETSU,KC,Vct 2026 Emea Stage 1,Sentinel,74,72,73
Xross,NS,Vct 2026 Pacific Stage 2,Initiator,73,73,73
supamen,EG,Vct 2026 Americas Stage 1,Controller,72,74,73
Filu,NAVI,Vct 2026 Emea Kickoff,Duelist,70,76,73
eeiu,FUR,Valorant Masters Santiago 2026,Initiator,73,73,73
benG,KRÜ,Vct 2026 Americas Kickoff,Controller,72,74,73
Rossy,ENVY,Vct 2026 Americas Stage 1,Controller,74,72,73
Haodong,TEC,Vct 2026 China Stage 2,Controller,73,73,73
SyouTa,ZETA,Vct 2026 Pacific Stage 2,Controller,73,73,73
Kr1stal,GE,Vct 2026 Pacific Stage 1,Initiator,72,74,73
OXY,C9,Vct 2026 Americas Kickoff,Sentinel,70,75,73
nephh,BLG,Vct 2026 China Stage 2,Initiator,71,74,73
Erv,TYL,Vct 2026 China Stage 2,Controller,73,73,73
Neon,LEV,Vct 2026 Americas Kickoff,Duelist,70,76,73
BABYBAY,G2,Valorant Masters London 2026,Sentinel,73,73,73
stew,JDG,Vct 2026 China Kickoff,Duelist,76,70,73
yosemite,WOL,Vct 2026 China Kickoff,Sentinel,71,74,73
AAAAY,FPX,Vct 2026 China Stage 2,Sentinel,72,73,73
ZmjjKK,EDG,Vct 2026 China Stage 2,Duelist,76,70,73
P0PPIN,ENVY,Vct 2026 Americas Stage 1,Initiator,73,72,73
kellyS,TS,Vct 2026 Pacific Stage 2,Duelist,73,73,73
iZu,T1,Vct 2026 Pacific Stage 2,Duelist,72,73,73
Autumn,GE,Vct 2026 Pacific Stage 2,Duelist,73,72,73
Sayonara,VIT,Vct 2026 Emea Stage 1,Duelist,73,72,73
yetujey,FUT,Vct 2026 Emea Stage 2,Controller,73,72,73
Crws,FS,Vct 2026 Pacific Stage 1,Sentinel,74,72,73
SyouTa,ZETA,Vct 2026 Pacific Kickoff,Controller,72,73,73
mada,NRG,Vct 2026 Americas Stage 2,Controller,75,70,73
Sylvan,TS,Vct 2026 Pacific Kickoff,Controller,75,70,73
Bai,AG,Vct 2026 China Stage 2,Sentinel,71,75,73
Minny,M8,Vct 2026 Emea Kickoff,Sentinel,71,74,73
natz,TS,Vct 2026 Pacific Stage 2,Sentinel,72,73,73
Xdll,ZETA,Vct 2026 Pacific Kickoff,Initiator,73,72,73
erde,LOUD,Vct 2026 Americas Stage 2,Controller,74,72,73
Reduxx,SEN,Vct 2026 Americas Kickoff,Duelist,72,74,73
echo,EF,Vct 2026 Emea Stage 1,Controller,70,75,73
Ivy,NS,Vct 2026 Pacific Stage 2,Controller,71,74,73
slowly,TYL,Vct 2026 China Stage 2,Controller,73,72,73
cortezia,SEN,Vct 2026 Americas Kickoff,Controller,71,75,73
Asuna,100T,Vct 2026 Americas Kickoff,Controller,73,72,73
chloric,NAVI,Vct 2026 Emea Stage 1,Initiator,72,73,73
Rarga,XLG,Valorant Masters London 2026,Duelist,72,73,73
Abo,TE,Vct 2026 China Stage 1,Sentinel,73,71,72
Chronicle,VIT,Vct 2026 Emea Stage 1,Controller,74,71,72
leaf,G2,Vct 2026 Americas Stage 2,Sentinel,73,71,72
Rb,NS,Vct 2026 Pacific Stage 2,Duelist,73,72,72
hiro,NAVI,Vct 2026 Emea Kickoff,Initiator,73,72,72
Karon,GEN,Vct 2026 Pacific Stage 1,Sentinel,73,72,72
erde,LOUD,Vct 2026 Americas Stage 1,Controller,75,69,72
Zellsis,C9,Vct 2026 Americas Stage 2,Sentinel,71,73,72
Ezeir,NOVA,Vct 2026 China Stage 1,Controller,71,74,72
f4ngeer,AG,Vct 2026 China Kickoff,Duelist,76,69,72
Ethan,NRG,Valorant Masters London 2026,Initiator,68,77,72
Lar0k,BBL,Valorant Masters Santiago 2026,Duelist,72,73,72
slowly,TYL,Vct 2026 China Kickoff,Duelist,75,70,72
Caedye,DFM,Vct 2026 Pacific Kickoff,Sentinel,72,73,72
nephh,BLG,Vct 2026 China Stage 2,Controller,73,71,72
Rarga,XLG,Vct 2026 China Stage 1,Sentinel,71,74,72
Virtyy,LOUD,Vct 2026 Americas Stage 1,Duelist,72,73,72
JessieVash,TS,Vct 2026 Pacific Kickoff,Initiator,70,75,72
skuba,NRG,Valorant Masters London 2026,Controller,74,70,72
Kai,TE,Vct 2026 China Kickoff,Duelist,78,67,72
cauanzin,LOUD,Vct 2026 Americas Kickoff,Initiator,71,74,72
AAAAY,FPX,Vct 2026 China Stage 2,Controller,74,70,72
nephh,BLG,Vct 2026 China Kickoff,Initiator,74,70,72
jkuro,JDG,Vct 2026 China Stage 1,Sentinel,74,71,72
Yuicaw,JDG,Vct 2026 China Kickoff,Controller,71,73,72
Abo,TEC,Vct 2026 China Kickoff,Sentinel,72,72,72
Jieni7,EDG,Vct 2026 China Stage 1,Controller,73,71,72
nekky,ULF,Vct 2026 Emea Kickoff,Initiator,74,70,72
al0rante,PCF,Vct 2026 Emea Kickoff,Controller,73,71,72
mta,KRÜ,Vct 2026 Americas Kickoff,Duelist,65,81,72
Erv,TYL,Vct 2026 China Stage 1,Duelist,74,70,72
Shyy,FUR,Vct 2026 Americas Stage 2,Controller,72,72,72
Xan,RRQ,Vct 2026 Pacific Stage 2,Duelist,76,69,72
lovers rock,BBL,Vct 2026 Emea Stage 1,Duelist,74,70,72
Jinggg,PRX,Valorant Masters London 2026,Duelist,70,73,72
iamgrq,AG,Vct 2026 China Stage 2,Controller,72,72,72
bipo,M8,Vct 2026 Emea Stage 1,Duelist,72,71,72
spike,LEV,Vct 2026 Americas Kickoff,Controller,70,74,72
Akeman,DRG,Vct 2026 China Kickoff,Duelist,75,68,72
Spring,WOL,Vct 2026 China Stage 1,Controller,72,72,72
Neon,LEV,Vct 2026 Americas Stage 2,Controller,72,72,72
Yuicaw,JDG,Vct 2026 China Stage 2,Controller,74,70,72
johnqt,SEN,Vct 2026 Americas Stage 2,Sentinel,73,71,72
Biank,BLG,Vct 2026 China Kickoff,Initiator,73,71,72
BABYBAY,G2,Vct 2026 Americas Kickoff,Duelist,70,73,72
nightz,ENVY,Vct 2026 Americas Stage 2,Duelist,70,73,72
Kai,TE,Vct 2026 China Stage 2,Duelist,75,69,72
Erv,TYL,Vct 2026 China Stage 1,Initiator,73,70,72
Flicker,KRX,Vct 2026 Pacific Stage 2,Duelist,69,74,72
kellyS,TS,Vct 2026 Pacific Stage 1,Controller,71,72,72
Zellsis,C9,Vct 2026 Americas Kickoff,Controller,73,71,72
valyn,G2,Valorant Masters London 2026,Controller,74,69,72
BerLIN,FPX,Vct 2026 China Stage 1,Controller,72,72,72
leaf,G2,Vct 2026 Americas Stage 1,Duelist,70,73,72
whzy,BLG,Vct 2026 China Stage 1,Duelist,75,68,72
xavi8k,GE,Vct 2026 Pacific Stage 1,Controller,71,72,72
Rosé,BBL,Vct 2026 Emea Stage 1,Initiator,72,72,72
Governor,KRÜ,Vct 2026 Americas Kickoff,Initiator,70,74,72
xavi8k,GE,Vct 2026 Pacific Stage 1,Initiator,73,70,72
Ruxic,NAVI,Vct 2026 Emea Kickoff,Sentinel,70,73,72
deLb,TE,Vct 2026 China Kickoff,Controller,74,69,72
d4v41,PRX,Valorant Masters London 2026,Controller,74,70,72
Xeppaa,C9,Vct 2026 Americas Stage 1,Initiator,73,70,72
Alfajer,FNC,Vct 2026 Emea Stage 1,Sentinel,70,73,72
Au1,AG,Vct 2026 China Kickoff,Sentinel,74,69,72
something,PRX,Vct 2026 Pacific Stage 2,Sentinel,70,73,72
infiltrator,KRÜ,Vct 2026 Americas Kickoff,Duelist,71,72,72
Dynamite,TEC,Vct 2026 China Stage 2,Duelist,72,71,72
wayne,TL,Valorant Masters Santiago 2026,Controller,74,70,72
slowly,TYL,Vct 2026 China Stage 2,Sentinel,70,73,71
ara,GX,Vct 2026 Emea Kickoff,Duelist,69,73,71
NoMan,XLG,Valorant Masters London 2026,Duelist,73,70,71
BerLIN,FPX,Vct 2026 China Kickoff,Initiator,72,70,71
BuZz,T1,Valorant Masters Santiago 2026,Duelist,72,71,71
Shao,NAVI,Vct 2026 Emea Kickoff,Controller,71,72,71
Autumn,GE,Vct 2026 Pacific Stage 1,Controller,72,71,71
keznit,ENVY,Vct 2026 Americas Stage 2,Duelist,68,75,71
Jemkin,RRQ,Vct 2026 Pacific Stage 2,Duelist,69,73,71
Lar0k,BBL,Vct 2026 Emea Stage 2,Sentinel,73,70,71
stax,T1,Valorant Masters Santiago 2026,Initiator,72,71,71
SUYGETSU,KC,Vct 2026 Emea Kickoff,Controller,72,70,71
Dynamite,TEC,Vct 2026 China Kickoff,Duelist,71,72,71
Rarga,XLG,Valorant Masters London 2026,Sentinel,70,72,71
NINJA,PCF,Vct 2026 Emea Stage 1,Initiator,73,69,71
xeus,FUT,Vct 2026 Emea Kickoff,Duelist,69,73,71
